id,total
"10,89",4.0
"13,15",4.0
"15,18",4.0
"15,89",4.0
"4,10",4.0
"4,13",4.0
"4,15",4.0
"4,18",4.0
"4,7",4.0
"4,8",4.0
"4,89",4.0
"7,10",4.0
"7,13",4.0
"7,15",4.0
"7,18",4.0
"7,8",4.0
"7,89",4.0
"8,10",4.0
"8,13",4.0
"8,15",4.0
"8,18",4.0
"8,89",4.0
"0,13",4.0
"0,4",4.0
"0,7",4.0
"0,8",4.0
"0,89",4.0
"13,18",4.0
"13,89",4.0
"18,89",4.0
"4,13",4.0
"4,7",4.0
"4,8",4.0
"4,89",4.0
"7,13",4.0
"7,8",4.0
"7,89",4.0
"8,13",4.0
"8,18",4.0
"8,89",4.0
"18,89",4.0
"2,8",4.0
"0,13",4.0
"0,15",4.0
"0,2",4.0
"10,13",4.0
"10,18",4.0
"13,15",4.0
"13,18",4.0
"2,10",4.0
"2,13",4.0
"2,15",4.0
"2,18",4.0
"0,10",4.0
"0,11",4.0
"0,13",4.0
"0,14",4.0
"0,15",4.0
"0,18",4.0
"0,2",4.0
"0,4",4.0
"0,7",4.0
"0,8",4.0
"10,13",4.0
"10,15",4.0
"10,18",4.0
"11,13",4.0
"11,14",4.0
"11,18",4.0
"13,15",4.0
"13,18",4.0
"14,18",4.0
"14,19",2.0
"16,19",2.0
"18,89",4.0
"19,20",2.0
"2,10",4.0
"2,13",4.0
"2,15",4.0
"2,18",4.0
"2,4",4.0
"2,7",4.0
"2,8",4.0
"3,14",2.0
"3,19",2.0
"3,20",2.0
"4,10",4.0
"4,11",4.0
"4,15",4.0
"4,18",4.0
"4,7",4.0
"4,8",4.0
"5,19",2.0
"6,19",2.0
"7,10",4.0
"7,11",4.0
"7,13",4.0
"7,15",4.0
"7,18",4.0
"7,8",4.0
"8,10",4.0
"8,11",4.0
"8,13",4.0
"8,18",4.0
"0,13",4.0
"0,14",4.0
"0,15",4.0
"0,18",4.0
"0,20",4.0
"0,4",4.0
"0,7",4.0
"0,8",4.0
"0,89",4.0
"11,14",4.0
"11,15",4.0
"11,18",4.0
"13,18",4.0
"13,20",4.0
"14,15",4.0
"14,18",4.0
"14,20",4.0
"15,18",4.0
"18,20",4.0
"4,11",4.0
"4,13",4.0
"4,14",4.0
"4,15",4.0
"4,18",4.0
"4,20",4.0
"4,7",4.0
"4,8",4.0
"7,11",4.0
"7,14",4.0
"7,15",4.0
"7,18",4.0
"7,8",4.0
"8,11",4.0
"8,13",4.0
"8,14",4.0
"8,15",4.0
"8,18",4.0
"8,20",4.0
"8,89",4.0
"0,4",4.0
"0,8",16.0
"10,17",4.0
"10,20",4.0
"17,20",4.0
"4,18",4.0
"8,17",4.0
"0,10",4.0
"0,11",4.0
"0,13",4.0
"0,15",4.0
"0,2",4.0
"0,7",4.0
"0,8",4.0
"10,11",4.0
"10,13",4.0
"11,13",4.0
"11,15",4.0
"13,15",4.0
"17,20",4.0
"2,10",4.0
"2,13",4.0
"2,18",4.0
"2,7",4.0
"2,8",4.0
"2,89",4.0
"7,13",4.0
"7,8",4.0
"0,10",4.0
"0,11",4.0
"0,12",4.0
"0,13",4.0
"0,15",4.0
"0,16",4.0
"0,18",4.0
"0,2",4.0
"0,4",4.0
"0,5",4.0
"0,7",4.0
"0,8",4.0
"0,89",4.0
"10,11",4.0
"10,12",4.0
"10,13",4.0
"10,15",4.0
"10,18",4.0
"11,13",4.0
"11,15",4.0
"11,16",4.0
"11,18",4.0
"11,89",4.0
"12,13",4.0
"12,15",4.0
"12,18",4.0
"13,15",4.0
"13,16",4.0
"13,18",4.0
"13,89",4.0
"15,18",4.0
"16,18",4.0
"16,89",4.0
"18,89",4.0
"2,10",4.0
"2,11",4.0
"2,13",4.0
"2,18",4.0
"2,4",4.0
"2,7",4.0
"2,8",4.0
"2,89",4.0
"3,14",2.0
"4,10",4.0
"4,11",4.0
"4,12",4.0
"4,13",4.0
"4,15",4.0
"4,16",4.0
"4,18",4.0
"4,5",4.0
"4,7",4.0
"4,8",4.0
"4,89",4.0
"5,10",4.0
"5,11",4.0
"5,18",4.0
"5,7",4.0
"5,8",4.0
"7,10",4.0
"7,11",4.0
"7,12",4.0
"7,13",4.0
"7,15",4.0
"7,16",4.0
"7,18",4.0
"7,8",4.0
"7,89",4.0
"8,10",4.0
"8,11",4.0
"8,12",4.0
"8,13",4.0
"8,15",4.0
"8,16",4.0
"8,17",16.0
"8,18",4.0
"8,89",4.0
"0,10",4.0
"0,11",4.0
"0,12",4.0
"0,13",4.0
"0,15",4.0
"0,16",20.0
"0,18",4.0
"0,2",4.0
"0,4",4.0
"0,5",4.0
"0,7",4.0
"0,8",4.0
"0,89",4.0
"10,11",4.0
"10,15",4.0
"10,18",4.0
"11,12",4.0
"11,13",4.0
"11,15",4.0
"11,16",4.0
"11,18",4.0
"11,89",4.0
"12,13",4.0
"12,15",4.0
"12,16",4.0
"12,18",4.0
"12,89",4.0
"13,15",4.0
"13,16",4.0
"13,18",4.0
"13,89",4.0
"15,16",4.0
"15,18",4.0
"15,89",4.0
"16,18",4.0
"16,89",4.0
"18,89",4.0
"2,11",4.0
"2,12",4.0
"2,13",4.0
"2,15",4.0
"2,16",4.0
"2,18",4.0
"2,20",4.0
"2,4",4.0
"2,5",4.0
"2,7",4.0
"2,8",4.0
"2,89",4.0
"3,14",2.0
"4,11",4.0
"4,12",4.0
"4,13",4.0
"4,15",4.0
"4,16",4.0
"4,18",4.0
"4,5",4.0
"4,7",4.0
"4,8",4.0
"4,89",4.0
"5,11",4.0
"5,13",4.0
"5,8",4.0
"5,89",4.0
"7,11",4.0
"7,12",20.0
"7,13",4.0
"7,15",4.0
"7,16",4.0
"7,18",4.0
"7,8",4.0
"7,89",4.0
"8,10",4.0
"8,11",4.0
"8,12",4.0
"8,13",4.0
"8,15",4.0
"8,16",4.0
"8,18",4.0
"8,89",4.0
"11,18",4.0
"12,15",4.0
"15,89",4.0
"18,89",4.0
"2,15",8.0
"4,15",4.0
"4,89",4.0
"0,12",16.0
"0,18",4.0
"10,13",4.0
"10,16",4.0
"12,13",4.0
"12,18",4.0
"13,16",4.0
"15,18",4.0
"16,18",4.0
"18,20",4.0
"19,21",2.0
"19,22",2.0
"2,15",8.0
"2,18",4.0
"2,7",8.0
"21,22",2.0
"3,14",2.0
"6,22",2.0
"7,18",4.0
"0,10",4.0
"0,11",4.0
"0,12",4.0
"0,13",4.0
"0,15",4.0
"0,16",4.0
